cgn,FCID_Code,FCID_Desc
24,2402023001,Banana-babyfood
24,2402024000,"Banana, dried"
24,2402024001,"Banana, dried-babyfood"
24,2402215000,Mango
24,2402215001,Mango-babyfood
24,2402216000,"Mango, dried"
24,2402217000,"Mango, juice"
24,2402217001,"Mango, juice-babyfood"
24,2402245000,Papaya
24,2402245001,Papaya-babyfood
24,2402246000,"Papaya, dried"
24,2402247000,"Papaya, juice"
24,2402254000,Pawpaw
24,2402277000,Persimmon
24,2402283000,Plantain
24,2402284000,"Plantain, dried"
24,2402289000,Pomegranate
24,2402290000,"Pomegranate, juice"
24,2403060000,Breadfruit
24,2403089000,Cherimoya
24,2403193000,Jackfruit
24,2403209000,Longan
24,2403214000,Mamey apple
24,2403279000,Pineapple
24,2403279001,Pineapple-babyfood
24,2403280000,"Pineapple, dried"
24,2403281000,"Pineapple, juice"
24,2403281001,"Pineapple, juice-babyfood"
24,2403333000,"Sapote, Mamey"
24,2403346000,Soursop
24,2403361000,Sugar apple
24,2404050206,Dragon fruit
24,2404062904,Prickly pear fruit
24,2405252000,Passionfruit
24,2405252001,Passionfruit-babyfood
24,2405253000,"Passionfruit, juice"
24,2405253001,"Passionfruit, juice-babyfood"
31,3100044000,"Beef, meat"
31,3100044001,"Beef, meat-babyfood"
31,3100045000,"Beef, meat, dried"
31,3100046000,"Beef, meat byproducts"
31,3100046001,"Beef, meat byproducts-babyfood"
31,3100047000,"Beef, fat"
31,3100047001,"Beef, fat-babyfood"
31,3100048000,"Beef, kidney"
31,3100049000,"Beef, liver"
31,3100049001,"Beef, liver-babyfood"
32,3200169000,"Goat, meat"
32,3200170000,"Goat, meat byproducts"
32,3200171000,"Goat, fat"
32,3200172000,"Goat, kidney"
32,3200173000,"Goat, liver"
33,3300189000,"Horse, meat"
34,3400290000,"Pork, meat"
34,3400290001,"Pork, meat-babyfood"
34,3400291000,"Pork, skin"
34,3400292000,"Pork, meat byproducts"
34,3400292001,"Pork, meat byproducts-babyfood"
34,3400293000,"Pork, fat"
34,3400293001,"Pork, fat-babyfood"
34,3400294000,"Pork, kidney"
34,3400295000,"Pork, liver"
35,3500339000,"Sheep, meat"
35,3500339001,"Sheep, meat-babyfood"
35,3500340000,"Sheep, meat byproducts"
35,3500341000,"Sheep, fat"
35,3500341001,"Sheep, fat-babyfood"
35,3500342000,"Sheep, kidney"
35,3500343000,"Sheep, liver"
36,3600222000,"Milk, fat"
36,3600222001,"Milk, fat-baby food/infant formula"
36,3600223000,"Milk, nonfat solids"
36,3600223001,"Milk, nonfat solids-baby food/infant formula"
36,3600224000,"Milk, water"
36,3600224001,"Milk, water-babyfood/infant formula"
36,3600225001,"Milk, sugar (lactose)-baby food/infant formula"
37,3700222501,"Milk, human"
38,3800221000,"Meat, game"
39,3900312000,"Rabbit, meat"
40,4000093000,"Chicken, meat"
40,4000093001,"Chicken, meat-babyfood"
40,4000094000,"Chicken, liver"
40,4000095000,"Chicken, meat byproducts"
40,4000095001,"Chicken, meat byproducts-babyfood"
40,4000096000,"Chicken, fat"
40,4000096001,"Chicken, fat-babyfood"
40,4000097000,"Chicken, skin"
40,4000097001,"Chicken, skin-babyfood"
50,5000382000,"Turkey, meat"
50,5000382001,"Turkey, meat-babyfood"
50,5000383000,"Turkey, liver"
50,5000383001,"Turkey, liver-babyfood"
50,5000384000,"Turkey, meat byproducts"
50,5000384001,"Turkey, meat byproducts-babyfood"
50,5000385000,"Turkey, fat"
50,5000385001,"Turkey, fat-babyfood"
50,5000386000,"Turkey, skin"
50,5000386001,"Turkey, skin-babyfood"
60,6000301000,"Poultry, other, meat"
60,6000302000,"Poultry, other, liver"
60,6000303000,"Poultry, other, meat byproducts"
60,6000304000,"Poultry, other, fat"
60,6000305000,"Poultry, other, skin"
70,7000145000,"Egg, whole"
70,7000145001,"Egg, whole-babyfood"
70,7000146000,"Egg, white"
70,7000146001,"Egg, white (solids)-babyfood"
70,7000147000,"Egg, yolk"
70,7000147001,"Egg, yolk-babyfood"
80,8000157000,Fish-freshwater finfish
80,8000158000,"Fish-freshwater finfish, farm raised"
80,8000159000,"Fish-saltwater finfish, tuna"
80,8000160000,"Fish-saltwater finfish, other"
80,8000161000,"Fish-shellfish, crustacean"
80,8000162000,"Fish-shellfish, mollusc"
86,8601000000,"Water, direct, all sources"
86,8601100000,"Water, direct, tap"
86,8601200000,"Water, direct, bottled"
86,8601300000,"Water, direct, other"
86,8601400000,"Water, direct, source-NS"
86,8602000000,"Water, indirect, all sources"
86,8602100000,"Water, indirect, tap"
86,8602200000,"Water, indirect, bottled"
86,8602300000,"Water, indirect, other"
86,8602400000,"Water, indirect, source-NS"
95,9500006000,"Amaranth, grain"
95,9500016000,"Artichoke, globe"
95,9500054000,Belgium endive
95,9500109000,"Cocoa bean, chocolate"
95,9500110000,"Cocoa bean, powder"
95,9500115000,"Coffee, roasted bean"
95,9500116000,"Coffee, instant"
95,9500177000,"Grape, leaves"
95,9500186000,Honey
95,9500186001,Honey-babyfood
95,9500186100,Bee pollen
95,9500188000,Hop
95,9500218000,"Maple, sugar"
95,9500219000,Maple syrup
95,9500244000,"Palm, oil"
95,9500244001,"Palm, oil-babyfood"
95,9500263000,Peanut
95,9500264000,"Peanut, butter"
95,9500265000,"Peanut, oil"
95,9500275000,Peppermint
95,9500276000,"Peppermint, oil"
95,9500306000,"Psyllium, seed"
95,9500311000,"Quinoa, grain"
95,9500335000,Seaweed
95,9500335001,Seaweed-babyfood
95,9500352000,Spearmint
95,9500353000,"Spearmint, oil"
95,9500362000,"Sugarcane, sugar"
95,9500362001,"Sugarcane, sugar-babyfood"
95,9500363000,"Sugarcane, molasses"
95,9500363001,"Sugarcane, molasses-babyfood"
95,9500372000,"Tea, dried"
95,9500373000,"Tea, instant"
95,9500373500,"Teff, flour"
95,9500390000,Vinegar
95,9500397000,Water chestnut
