Food_Code,Food_Desc
11710000,"Infant formula, NFS"
11710050,"Similac Alimentum, with iron, infant formula, NS as to form"
11710051,"Similac Alimentum, with iron, infant formula, ready-to-feed"
11710053,"Similac Alimentum, with iron, infant formula, prepared from powder"
11710061,"Similac Alimentum Advance, with iron, infant formula, ready-to-feed"
11710063,"Similac Alimentum Advance, with iron, infant formula, prepared from powder"
11710100,"Enfamil, low iron, infant formula, NS as to form"
11710101,"Enfamil, low iron, infant formula, ready-to-feed"
11710102,"Enfamil, low iron, infant formula, prepared from liquid concentrate"
11710103,"Enfamil, low iron, infant formula, prepared from powder"
11710110,"Gerber, with iron, infant formula, NS as to form"
11710111,"Gerber, with iron, infant formula, ready-to-feed"
11710112,"Gerber, with iron, infant formula, prepared from liquid concentrate"
11710113,"Gerber, with iron, infant formula, prepared from powder"
11710123,"Gerber, low iron, infant formula, prepared from powder"
11710200,"Similac, low iron, infant formula, NS as to form"
11710201,"Similac, low iron, infant formula, ready-to-feed"
11710202,"Similac, low iron, infant formula, prepared from liquid concentrate"
11710203,"Similac, low iron, infant formula, prepared from powder"
11710250,"Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, NS as to form"
11710350,"Similac Advance, with iron, infant formula, NS as to form"
11710351,"Similac Advance, with iron, infant formula, ready-to-feed"
11710352,"Similac Advance, with iron, infant formula, prepared from liquid concentrate"
11710353,"Similac Advance, with iron, infant formula, prepared from powder"
11710371,"Similac Sensitive, with iron, ARA and DHA, infant formula, ready-to-feed  (formerly Lactose Free Advance"
11710373,"Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from powder   (formerly Lactose Free"
11710400,"Similac, with iron, infant formula, NS as to form"
11710401,"Similac, with iron, infant formula, ready-to-feed"
11710402,"Similac, with iron, infant formula, prepared from liquid concentrate"
11710403,"Similac, with iron, infant formula, prepared from powder"
11710450,"Similac Special Care Advance 24, with iron, ARA and DHA, infant formula, NS as to form"
11710451,"Similac Special Care Advance 24, with iron, ARA and DHA, infant formula, ready-to-feed"
11710461,"Similac, Toddler's Best, with iron, infant formula, all flavors, ready-to-feed"
11710470,"Similac NeoSure, with iron, ARA and DHA, infant formula, NS as to form"
11710473,"Similac NeoSure, with iron, ARA and DHA, infant formula, prepared from powder"
11710500,"SMA, with iron, infant formula, NS as to form"
11710501,"SMA, with iron, infant formula, ready-to-feed"
11710502,"SMA, with iron, infant formula, prepared from liquid concentrate"
11710503,"SMA, with iron, infant formula, prepared from powder"
11710551,"SMA, low iron, infant formula, ready-to-feed"
11710552,"SMA, low iron, infant formula, prepared from liquid concentrate"
11710553,"SMA, low iron, infant formula, prepared from powder"
11710600,"Enfamil, with iron, infant formula, NS as to form"
11710601,"Enfamil, with iron, infant formula, ready-to-feed"
11710602,"Enfamil, with iron, infant formula, prepared from liquid concentrate"
11710603,"Enfamil, with iron, infant formula, prepared from powder"
11710650,"Enfamil Lipil, with iron, infant formula, NS as to form"
11710651,"Enfamil Lipil, with iron, infant formula, ready-to-feed"
11710652,"Enfamil Lipil, with iron, infant formula, prepared from liquid concentrate"
11710653,"Enfamil Lipil, with iron, infant formula, prepared from powder"
11710661,"Enfamil A.R. Lipil, infant formula, ready-to-feed"
11710663,"Enfamil A.R. Lipil, infant formula, prepared from powder"
11710667,"Enfamil EnfaCare Lipil with iron, infant formula, prepared from powder"
11710670,"Enfamil Gentlease Lipil, with iron, infant formula, NS as to form"
11710673,"Enfamil Gentlease Lipil, with iron, infant formula, prepared from powder"
11710683,"Enfamil Next Step Lipil, with iron, infant formula, prepared from powder"
11710710,"Lactofree, with iron, infant formula, NS as to form"
11710711,"Lactofree, with iron, infant formula, ready-to-feed"
11710712,"Lactofree, with iron, infant formula, prepared from liquid concentrate"
11710713,"Lactofree, with iron, infant formula, prepared from powder"
11710720,"Enfamil LactoFree Lipil, with iron, infant formula, NS as to form"
11710721,"Enfamil LactoFree Lipil, with iron, infant formula, ready-to-feed"
11710722,"Enfamil LactoFree Lipil, with iron, infant formula, prepared from liquid concentrate"
11710723,"Enfamil LactoFree Lipil, with iron, infant formula, prepared from powder"
11710800,"Pediasure, with iron, infant formula, NS as to form"
11710801,"Pediasure, with iron, infant formula, ready-to-feed"
11710805,"Pediasure Fiber, with iron, infant formula, NS as to form"
11710806,"Pediasure Fiber, with iron, infant formula, ready-to-feed"
11710900,"Good Start Supreme, with iron, infant formula, NS as to form (formerly Carnation Good Start)"
11710901,"Good Start Supreme, with iron, infant formula, ready-to-feed (formerly Carnation Good Start)"
11710902,"Good Start Supreme, with iron, infant formula, prepared from liquid concentrate (formerly Carnation Good"
11710903,"Good Start Supreme, with iron, infant formula, prepared from powder (formerly Carnation Good Start)"
11710911,"Good Start Supreme, with iron, DHA & ARA, infant formula, ready-to-feed"
11710912,"Good Start Supreme, with iron, DHA & ARA, infant formula, prepared from liquid concentrate"
11710913,"Good Start Supreme, with iron, DHA & ARA, infant formula, prepared from powder"
11710950,"Good Start 2 Essentials, with iron, infant formula, NS as to form (formerly Carnation Follow-Up, with ir"
11710951,"Good Start 2 Essentials, with iron, infant formula, ready-to-feed (formerly Carnation Follow-Up, with ir"
11710952,"Good Start 2 Essentials, with iron, infant formula, prepared from liquid concentrate (formerly Carnation"
11710953,"Good Start 2 Essentials, with iron, infant formula, prepared from powder (formerly Carnation Follow-Up,"
11710962,"America's Store Brand, with iron, infant formula, prepared from powder"
11720051,"Gerber soy, with iron, infant formula, ready-to-feed"
11720052,"Gerber soy, with iron, infant formula, prepared from liquid concentrate"
11720200,"Nursoy, with iron, infant formula, NS as to form"
11720201,"Nursoy, with iron, infant formula, ready-to-feed"
11720202,"Nursoy, with iron, infant formula, prepared from liquid concentrate"
11720203,"Nursoy, with iron, infant formula, prepared from powder"
11720300,"Enfamil ProSobee, with iron, infant formula, NS as to form"
11720301,"Enfamil ProSobee, with iron, infant formula, ready-to-feed"
11720302,"Enfamil ProSobee, with iron, infant formula, prepared from liquid concentrate"
11720303,"Enfamil ProSobee, with iron, infant formula, prepared from powder"
11720311,"Enfamil ProSobee Lipil, with iron, infant formula, ready-to-feed"
11720312,"Enfamil ProSobee Lipil, with iron, infant formula, prepared from liquid concentrate"
11720313,"Enfamil ProSobee Lipil, with iron, infant formula, prepared from powder"
11720400,"Similac Isomil, with iron, infant formula, NS as to form"
11720401,"Similac Isomil, with iron, infant formula, ready-to-feed"
11720402,"Similac Isomil, with iron, infant formula, prepared from liquid concentrate"
11720403,"Similac Isomil, with iron, infant formula, prepared from powder"
11720411,"Similac Isomil Advance with iron, infant formula, ready-to-feed"
11720412,"Similac Isomil Advance with iron, infant formula, prepared from liquid concentrate"
11720413,"Similac Isomil Advance with iron, infant formula, prepared from powder"
11720451,"Isomil SF (sucrose-free), with iron, infant formula, ready-to-feed"
11720452,"Isomil SF (sucrose-free), with iron, infant formula, prepared from liquid concentrate"
11720502,"Soyalac, with iron, infant formula, prepared from liquid concentrate"
11720503,"Soyalac, with iron, infant formula, prepared from powder"
11720600,"Good Start Essentials Soy, with iron, infant formula, NS as to form (formerly Carnation Alsoy; I-Soyalac"
11720601,"Good Start Essentials Soy, with iron, infant formula, ready-to-feed (formerly Carnation Alsoy; I-Soyalac"
11720602,"Good Start Essentials Soy, with iron, infant formula, prepared from liquid concentrate (formerly Carnati"
11720603,"Good Start Essentials Soy, with iron, infant formula, prepared from powder (formerly Carnation Alsoy; I-"
11720612,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from liquid concentrate"
11720613,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from powder"
11720700,"Next Step Soy Toddler Formula, with iron, infant formula, NS as to form"
11720703,"Next Step Prosobee, with iron, infant formula, prepared from powder (formerly Next Step Soy Toddler Form"
11720803,"America's Store Brand Soy, with iron, infant formula, prepared from powder"
11740300,"Nutramigen, with iron, infant formula, NS as to form"
11740301,"Nutramigen, with iron, infant formula, ready-to-feed"
11740302,"Nutramigen, with iron, infant formula, prepared from liquid concentrate"
11740303,"Nutramigen, with iron, infant formula, prepared from powder"
11740310,"Enfamil Nutramigen Lipil, with iron, infant formula, NS as to form"
11740311,"Enfamil Nutramigen Lipil, with iron, infant formula, ready-to-feed"
11740312,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from liquid concentrate"
11740313,"Enfamil Nutramigen Lipil, with iron, infant formula, prepared from powder"
11740403,"Pregestimil, with iron, infant formula, prepared from powder"
11740500,"Similac PM 60/40, low iron, infant formula, NS as to form"
11810000,"Milk, dry, not reconstituted, NS as to whole, lowfat, or nonfat"
11811000,"Milk, dry, whole, not reconstituted"
11812000,"Milk, dry, lowfat, not reconstituted"
11813000,"Milk, dry, nonfat, not reconstituted"
11825000,"Whey, sweet, dry"
11830100,"Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted"
11830110,"Cocoa powder with nonfat dry milk and low calorie sweetener, dry mix, not reconstituted"
11830120,"Cocoa, whey, and low calorie sweetener, fortified, dry mix, not reconstituted"
11830140,"Chocolate, instant, dry mix, fortified with vitamins and minerals, not reconstituted, Puerto Rican style"
11830150,"Cocoa powder, not reconstituted (no dry milk)"
11830160,"Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted"
11830170,"Cocoa, whey, and low-calorie sweetener mixture, not reconstituted"
11830180,"Cocoa (or chocolate) flavored beverage powder with low calorie sweetener, dry mix, not reconstituted"
11830200,"Milk, malted, dry mix, unfortified, not reconstituted, flavors other than chocolate"
11830210,"Milk, malted, dry mix, fortified, not reconstituted, flavors other than chocolate"
11830250,"Milk, malted, dry mix, unfortified, not reconstituted, chocolate"
11830260,"Milk, malted, dry mix, fortified, not reconstituted, chocolate"
11830400,"Milk beverage, powder, dry mix, not reconstituted, flavors other than chocolate"
11830450,"Milk beverage with sugar, dry milk, and egg white powder, dry mix, not reconstituted"
11830500,"Milk beverage, powder, with nonfat dry milk and low calorie sweetener, dry mix, not reconstituted, choco"
11830550,"Milk beverage, powder, with nonfat dry milk and low calorie sweetener, dry mix, not reconstituted, flavo"
11830800,"Instant breakfast, powder, not reconstituted"
11830810,"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted"
11830850,"High calorie milk beverage, powder, not reconstituted"
11830900,"Protein supplement, milk-based, powdered, not reconstituted"
11830940,"Meal replacement, high protein, milk based, fruit juice mixable formula, powdered, not reconstituted"
11830970,"Meal replacement, protein type, milk-based, powdered, not reconstituted"
11830990,"Nutrient supplement, milk-based, powdered, not reconstituted"
11831500,"Nutrient supplement, milk-based, high protein, powdered, not reconstituted"
11832000,"Meal replacement, protein type, milk- and soy-based, powdered, not reconstituted"
11835100,"Meal replacement, Amway's Nutrilite brand Positrim Drink Mix, powdered nonfat dry milk-based, dry, not r"
11835200,"Lose-it (Nanci), meal replacement, powder"
11836000,"Protein supplement, milk-based, Muscle Milk, powdered, not reconstituted"
11836100,"Protein supplement, milk-based, Muscle Milk Light, powdered, not reconstituted"
12100100,"Cream, NS as to light, heavy, or half and half"
12110100,"Cream, light, fluid"
12110300,"Cream, light, whipped, unsweetened"
12120100,"Cream, half and half"
12120105,"Cream, half and half, low fat"
12120110,"Cream, half and half, fat free"
12130100,"Cream, heavy, fluid"
12130200,"Cream, heavy, whipped, unsweetened"
12140000,"Cream, heavy, whipped, sweetened"
12140100,"Cream, whipped, pressurized container"
12140105,"Cream, whipped, pressurized container, light"
12140110,"Whipped topping, dairy based, fat free, pressurized container"
12200100,"Cream substitute, NS as to frozen, liquid, or powdered"
12210100,"Cream substitute, frozen"
12210200,"Cream substitute, liquid"
12210210,"Cream substitute, flavored, liquid"
12210250,"Cream substitute, light, liquid"
12210255,"Cream substitute, light, flavored, liquid"
12210260,"Cream substitute, fat free, liquid"
12210270,"Cream substitute, fat free, flavored, liquid"
12210305,"Cream substitute, sugar free, liquid"
12210310,"Cream substitute, sugar free, flavored, liquid"
12210400,"Cream substitute, powdered"
12210410,"Cream substitute, light, powdered"
12210420,"Cream substitute, flavored, powdered"
12210430,"Cream substitute, fat free, powder"
12210440,"Cream substitute, fat free, flavored, powder"
12210500,"Cream substitute, sugar free, powder"
12210505,"Cream substitute, sugar free, flavored, powder"
12220000,"Whipped topping, nondairy, NS as to canned, frozen, or made from powdered mix"
12220100,"Whipped topping, nondairy, pressurized can"
12220200,"Whipped topping, nondairy, frozen"
12220250,"Whipped topping, nondairy, frozen, lowfat"
12220270,"Whipped topping, nondairy, frozen, fat free"
12220280,"Whipped topping, nondairy, frozen, sugar free"
12220300,"Whipped cream substitute, nondairy, made from powdered mix"
12220400,"Whipped cream substitute, nondairy, lowfat, low sugar, made from powdered mix"
12310100,Sour cream
12310200,"Sour cream, half and half"
12310300,"Sour cream, reduced fat"
12310350,"Sour cream, light"
12310370,"Sour cream, fat free"
12320100,"Sour cream, imitation (nondairy)"
12320200,"Sour cream, filled, sour dressing, nonbutterfat"
12350000,"Dip, sour cream base"
12350020,"Dip, sour cream base, reduced calorie"
12350100,Spinach dip
13110000,"Ice cream, NFS"
13110100,"Ice cream, regular, flavors other than chocolate"
13110110,"Ice cream, regular, chocolate"
13110120,"Ice cream, rich, flavors other than chocolate"
13110130,"Ice cream, rich, chocolate"
13110140,"Ice cream, rich, NS as to flavor"
13110200,"Ice cream, soft serve, flavors other than chocolate"
13110210,"Ice cream, soft serve, chocolate"
13110220,"Ice cream, soft serve, NS as to flavor"
13110320,"Ice cream, no sugar added, flavors other than chocolate"
13110330,"Ice cream, no sugar added, chocolate"
13110400,"Milk dessert, frozen, flavors other than chocolate (no butterfat)"
13110450,"Milk dessert, frozen, chocolate (no butterfat)"
13120050,"Ice cream bar or stick, not chocolate covered or cake covered"
13120100,"Ice cream bar or stick, chocolate covered"
13120110,"Ice cream bar or stick, chocolate or caramel covered, with nuts"
13120120,"Ice cream bar or stick, rich chocolate ice cream, thick chocolate covering"
13120121,"Ice cream bar or stick, rich ice cream, thick chocolate covering"
13120130,"Ice cream bar or stick, rich ice cream, chocolate covered, with nuts"
13120140,"Ice cream bar or stick, chocolate ice cream, chocolate covered"
13120300,"Ice cream bar, cake covered"
13120400,Ice cream bar or stick with fruit
13120500,Ice cream sandwich
13120550,Ice cream cookie sandwich
13120700,"Ice cream cone with nuts, flavors other than chocolate"
13120710,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate"
13120720,"Ice cream cone, chocolate covered or dipped, flavors other than chocolate"
13120730,"Ice cream cone, no topping, flavors other than chocolate"
13120740,"Ice cream cone, no topping, NS as to flavor"
13120750,"Ice cream cone with nuts, chocolate ice cream"
13120760,"Ice cream cone, chocolate covered or dipped, chocolate ice cream"
13120770,"Ice cream cone, no topping, chocolate ice cream"
13120780,"Ice cream cone, chocolate covered, with nuts, chocolate ice cream"
13120790,Ice cream sundae cone
13120800,"Ice cream soda, flavors other than chocolate"
13120810,"Ice cream soda, chocolate"
13121000,"Ice cream sundae, NS as to topping, with whipped cream"
13121100,"Ice cream sundae, fruit topping, with whipped cream"
13121200,"Ice cream sundae, prepackaged type, flavors other than chocolate"
13121300,"Ice cream sundae, chocolate or fudge topping, with whipped cream"
13121400,"Ice cream sundae, not fruit or chocolate topping, with whipped cream"
13121500,"Ice cream sundae, fudge topping, with cake, with whipped cream"
13122100,"Ice cream pie, no crust"
13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream"
13124100,Sorbet and ice cream
13125100,Ice cream with sherbet
13126000,"Ice cream, fried"
13130100,"Light ice cream, NS as to flavor (formerly ice milk)"
13130300,"Light ice cream, flavors other than chocolate (formerly ice milk)"
13130310,"Light ice cream, chocolate (formerly ice milk)"
13130320,"Light ice cream, no sugar added, NS as to flavor"
13130330,"Light ice cream, no sugar added, flavors other than chocolate"
13130340,"Light ice cream, no sugar added, chocolate"
13130350,"Light ice cream, premium, flavors other than chocolate (formerly ice milk)"
13130360,"Ice milk, premium, chocolate"
13130590,"Light ice cream, soft serve, NS as to flavor (formerly ice milk)"
13130600,"Light ice cream, soft serve, flavors other than chocolate (formerly ice milk)"
13130610,"Light ice cream, soft serve, chocolate (formerly ice milk)"
13130620,"Light ice cream, soft serve cone, flavors other than chocolate (formerly ice milk)"
13130630,"Light ice cream, soft serve cone, chocolate (formerly ice milk)"
13130640,"Light ice cream, soft serve cone, NS as to flavor (formerly ice milk)"
13130700,"Light ice cream, soft serve, blended with candy or cookies"
13135000,"Ice cream sandwich, made with light ice cream, flavors other than chocolate"
13135010,"Ice cream sandwich, made with light chocolate ice cream"
13136000,"Ice cream sandwich, made with light, no sugar added ice cream"
13140100,"Light ice cream, bar or stick, chocolate-coated (formerly ice milk)"
13140110,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)"
13140450,"Light ice cream, cone, NFS (formerly ice milk)"
13140500,"Light ice cream, cone, flavors other than chocolate (formerly ice milk)"
13140550,"Light ice cream, cone, chocolate (formerly ice milk)"
13140600,"Light ice cream, sundae, soft serve, chocolate or fudge topping, with whipped cream (formerly ice milk)"
13140630,"Light ice cream, sundae, soft serve, fruit topping, with whipped cream (formerly ice milk)"
13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice mi"
13140660,"Light ice cream, sundae, soft serve, chocolate or fudge topping (without whipped cream) (formerly ice mi"
13140670,"Light ice cream, sundae, soft serve, fruit topping (without whipped cream) (formerly ice milk)"
13140680,"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ic"
13140700,"Light ice cream, creamsicle or dreamsicle (formerly ice milk)"
13140900,"Light ice cream, fudgesicle (formerly ice milk)"
13141100,"Light ice cream, with sherbet or ice cream (formerly ice milk)"
13142000,"Milk dessert bar or stick, frozen, with coconut"
13150000,"Sherbet, all flavors"
13160000,"Milk dessert, frozen, made from lowfat milk"
13160100,"Milk dessert, frozen, lowfat, made with low-calorie sweetener, flavors other than chocolate"
13160150,"Fat free ice cream, no sugar added, chocolate"
13160160,"Fat free ice cream, no sugar added, flavors other than chocolate"
13160200,"Milk dessert, frozen, lowfat, flavors other than chocolate"
13160210,"Milk dessert, frozen, lowfat, chocolate"
13160400,"Fat free ice cream, flavors other than chocolate"
13160410,"Fat free ice cream, chocolate"
13160550,"Milk dessert, frozen, milk-fat free, made with Simplesse, flavors other than chocolate"
13160600,"Milk dessert, frozen, made with low-calorie sweetener, flavors other than chocolate"
13160650,"Milk dessert, frozen, made with low-calorie sweetener, chocolate"
13161000,"Milk dessert bar, frozen, made from lowfat milk"
13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk"
